id,gid,x,y,v_x,v_y,radius,time
10,0,5.851773,0.168804,-1.027509,-0.055022,0.200000,1.850000
11,0,12.946177,-0.621605,-1.240231,0.055851,0.200000,1.850000
12,0,11.716394,0.528255,-1.018574,0.001376,0.200000,1.850000
13,0,7.038981,-0.176849,-1.037922,-0.349794,0.200000,1.850000
14,0,5.198029,-0.552069,-1.104966,0.058634,0.200000,1.850000
15,0,11.794725,0.977398,-1.271664,-0.042797,0.200000,1.850000
16,0,4.701563,-0.126726,-1.314194,0.013895,0.200000,1.850000
17,0,5.360145,0.560503,-0.940233,-0.170526,0.200000,1.850000
18,0,7.880193,-0.723900,-1.059587,-0.262138,0.200000,1.850000
19,0,5.766498,-1.187442,-1.147300,-0.196746,0.200000,1.850000
20,1,6.939866,5.931583,-0.257499,-1.207905,0.200000,1.850000
21,1,7.957221,-5.954484,-0.289597,-1.231945,0.200000,1.850000
22,1,6.635930,1.029003,-0.358739,-0.914771,0.200000,1.850000
23,1,8.559314,-4.830502,-0.367810,-1.219377,0.200000,1.850000
24,1,5.415873,3.788612,0.008349,-1.154044,0.200000,1.850000
25,1,8.093147,-3.832924,-0.222295,-1.254093,0.200000,1.850000
26,1,6.817253,4.781660,-0.034803,-1.193645,0.200000,1.850000
27,1,4.499912,0.568137,-0.421492,-0.428378,0.200000,1.850000
28,1,4.555007,1.893227,-0.127428,-0.796637,0.200000,1.850000
29,1,4.120243,-0.876955,0.081892,-1.260719,0.200000,1.850000
30,1,7.451731,1.914143,-0.182558,-1.038960,0.200000,1.850000
31,1,7.176348,-6.198354,-0.063168,-1.279802,0.200000,1.850000
32,1,5.300172,1.308421,-0.283470,-0.623091,0.200000,1.850000
33,1,7.813336,3.706843,-0.141295,-1.115477,0.200000,1.850000
34,1,5.131896,4.942886,0.127286,-1.125298,0.200000,1.850000
35,1,8.849441,1.889681,-0.289011,-1.365505,0.200000,1.850000
36,1,6.153493,2.715647,-0.053425,-0.979555,0.200000,1.850000
37,1,8.263806,2.051702,-0.238539,-1.265024,0.200000,1.850000
38,1,8.803742,3.045156,-0.274684,-1.032967,0.200000,1.850000
39,1,6.818432,7.036743,0.013573,-1.273569,0.200000,1.850000
0,0,8.541829,0.035154,-0.977786,-0.245818,0.200000,1.900000
1,0,10.812361,0.297744,-1.105892,-0.254000,0.200000,1.900000
2,0,5.750294,-0.402424,-1.310596,-0.390283,0.200000,1.900000
3,0,4.968510,-1.073381,-1.366329,0.014938,0.200000,1.900000
4,0,7.602126,0.445911,-0.915891,-0.172935,0.200000,1.900000
5,0,3.651678,0.127540,-1.293275,-0.069196,0.200000,1.900000
6,0,11.921031,-1.146746,-1.097786,-0.146387,0.200000,1.900000
7,0,9.184438,-0.411485,-1.099291,-0.248800,0.200000,1.900000
8,0,11.509973,-0.625861,-1.140504,-0.175599,0.200000,1.900000
9,0,6.423935,-0.560493,-1.056695,-0.307263,0.200000,1.900000
10,0,5.812349,0.166784,-0.788489,-0.040393,0.200000,1.900000
11,0,12.883871,-0.618866,-1.246130,0.054766,0.200000,1.900000
12,0,11.663918,0.526970,-1.049514,-0.025703,0.200000,1.900000
13,0,6.985775,-0.192494,-1.064116,-0.312905,0.200000,1.900000
14,0,5.141815,-0.549079,-1.124280,0.059798,0.200000,1.900000
15,0,11.731011,0.975094,-1.274278,-0.046070,0.200000,1.900000
16,0,4.635925,-0.126015,-1.312764,0.014204,0.200000,1.900000
17,0,5.314086,0.565739,-0.921174,0.104721,0.200000,1.900000
18,0,7.825905,-0.736065,-1.085753,-0.243312,0.200000,1.900000
19,0,5.708409,-1.195583,-1.161786,-0.162820,0.200000,1.900000
20,1,6.927099,5.870835,-0.255340,-1.214956,0.200000,1.900000
21,1,7.942692,-6.016247,-0.290570,-1.235257,0.200000,1.900000
22,1,6.620001,0.981342,-0.318576,-0.953223,0.200000,1.900000
23,1,8.540886,-4.891597,-0.368571,-1.221900,0.200000,1.900000
24,1,5.416399,3.730359,0.010522,-1.165051,0.200000,1.900000
25,1,8.082009,-3.895758,-0.222755,-1.256688,0.200000,1.900000
26,1,6.815767,4.721446,-0.029715,-1.204271,0.200000,1.900000
27,1,4.466354,0.529268,-0.671153,-0.777380,0.200000,1.900000
28,1,4.544835,1.851988,-0.203431,-0.824778,0.200000,1.900000
29,1,4.125884,-0.939886,0.112835,-1.258618,0.200000,1.900000
30,1,7.444784,1.866112,-0.138958,-0.960620,0.200000,1.900000
31,1,7.173204,-6.262438,-0.062875,-1.281682,0.200000,1.900000
32,1,5.290703,1.271995,-0.189386,-0.728507,0.200000,1.900000
33,1,7.806665,3.652300,-0.133424,-1.090863,0.200000,1.900000
